"","patents","region","age","iscustomer"
"44",3,"Midwest",25.5,0
"430",7,"South",25,0
"615",3,"Southwest",18.5,1
"1127",15,"Northeast",28,0
"928",2,"Northeast",32.5,0
"900",2,"Northeast",30,0
"1373",4,"Northeast",22.5,0
"310",4,"Northwest",18,0
"1253",7,"Northeast",24.5,0
"1012",5,"Northeast",19.5,1
"1013",0,"Northeast",36,0
"633",4,"Southwest",21.5,0
"1095",2,"Northeast",29.5,1
"909",5,"Northeast",32,0
"98",2,"Midwest",32,0
"916",3,"Northeast",24.5,0
"1019",4,"Northeast",21,0
"843",2,"Southwest",19,0
"102",4,"Midwest",22,0
"511",2,"South",37,0
"331",2,"Northwest",32.5,0
"332",3,"Northwest",25,0
"1023",5,"Northeast",23.5,0
"645",5,"Southwest",26,0
"769",4,"Southwest",27.5,0
"1271",4,"Northeast",15,1
"1029",8,"Northeast",20,0
"649",3,"Southwest",41.5,0
"260",4,"Northwest",15,1
"113",1,"Midwest",32,0
"903",3,"Northeast",30.5,0
"75",3,"Midwest",19,0
"873",3,"Southwest",17,1
"1157",5,"Northeast",20,0
"118",1,"Midwest",34.5,0
"1037",3,"Northeast",34,0
"347",6,"Northwest",26,0
"997",2,"Northeast",34.5,0
"998",6,"Northeast",27.5,0
"477",6,"South",39,0
"3",2,"Midwest",32.5,0
"924",4,"Northeast",17.5,0
"86",0,"Midwest",35.5,0
"127",4,"Midwest",15,0
"1290",3,"Northeast",17,0
"965",6,"Northeast",24.5,0
"9",5,"Midwest",40.5,0
"917",11,"Northeast",23.5,0
"968",3,"Northeast",29,1
"569",2,"South",9.5,0
"295",3,"Northwest",30.5,0
"1053",3,"Northeast",15.5,0
"1379",6,"Northeast",17,0
"269",2,"Northwest",25,0
"677",4,"Southwest",18,0
"575",5,"South",20,1
"1181",4,"Northeast",18,0
"978",2,"Northeast",28,0
"248",10,"Northwest",32.5,0
"457",2,"South",36.5,0
"1143",2,"Northeast",12,0
"847",1,"Southwest",15,0
"1186",7,"Northeast",28.5,0
"292",4,"Northwest",22,0
"27",5,"Midwest",23.5,0
"1068",0,"Northeast",41.5,0
"825",4,"Southwest",24.5,0
"302",1,"Northwest",21,0
"1069",3,"Northeast",32,0
"1070",2,"Northeast",12,0
"902",2,"Northeast",29.5,1
"654",1,"Southwest",34,0
"156",0,"Midwest",46.5,1
"36",3,"Midwest",19,0
"737",2,"Southwest",33,1
"780",4,"Southwest",21.5,0
"1199",3,"Northeast",29,0
"336",4,"Northwest",16.5,0
"674",3,"Southwest",39,1
"743",0,"Southwest",21,0
"785",6,"Southwest",23.5,0
"934",3,"Northeast",37,0
"480",4,"South",14.5,0
"605",4,"Southwest",20.5,1
"317",3,"Northwest",39.5,0
"48",1,"Midwest",43.5,0
"618",4,"Southwest",25.5,0
"171",4,"Midwest",36.5,0
"684",7,"Southwest",24,0
"794",5,"Southwest",33.5,0
"1214",1,"Northeast",36.5,1
"490",3,"South",16,0
"491",2,"South",42,0
"1338",5,"Northeast",39,0
"435",2,"South",22,0
"239",4,"Northwest",38,0
"59",1,"Midwest",28,0
"60",2,"Midwest",29,0
"1018",7,"Northeast",25,0
"62",7,"Midwest",38.5,0
"373",4,"Northwest",32.5,1
"724",6,"Southwest",23.5,0
"65",1,"Midwest",25,0
"699",3,"Southwest",18,1
"1228",5,"Northeast",29,0
"1108",5,"Northeast",29,0
"1109",3,"Northeast",14.5,0
"986",8,"Northeast",34,0
"71",3,"Midwest",13.5,0
"773",5,"Southwest",22,0
"225",1,"Northwest",35,0
"262",5,"Northwest",30,0
"1114",3,"Northeast",19.5,1
"226",4,"Northwest",25,0
"954",4,"Northeast",17.5,0
"1036",7,"Northeast",44,1
"1240",5,"Northeast",27,0
"1445",3,"Northeast",29,1
"378",8,"Northwest",28.5,0
"1041",5,"Northeast",13,0
"1245",3,"Northeast",28,0
"312",3,"Northwest",22,0
"926",6,"Northeast",32,0
"914",5,"Northeast",27.5,0
"251",3,"Northwest",29.5,0
"1006",2,"Northeast",11.5,0
"249",5,"Northwest",27,0
"437",6,"South",20.5,0
"1131",2,"Northeast",27,0
"1375",4,"Northeast",25,0
"293",4,"Northwest",25,0
"530",6,"South",24.5,0
"942",5,"Northeast",21.5,0
"1136",5,"Northeast",12.5,0
"757",5,"Southwest",27.5,0
"1016",2,"Northeast",20,0
"679",4,"Southwest",25.5,0
"383",3,"Northwest",17.5,0
"897",3,"Southwest",30,0
"403",5,"Northwest",19.5,1
"1021",4,"Northeast",16.5,0
"1265",5,"Northeast",23,0
"1266",2,"Northeast",18.5,0
"698",6,"Southwest",18,0
"1025",9,"Northeast",25,0
"489",3,"South",22,0
"504",1,"South",39,0
"474",0,"South",36,0
"933",2,"Northeast",19,0
"1152",3,"Northeast",26,0
"432",3,"South",20,0
"439",4,"South",22,0
"906",2,"Northeast",27.5,0
"993",5,"Northeast",26.5,0
"485",1,"South",37.5,0
"200",2,"Midwest",10,1
"381",0,"Northwest",37,0
"1403",6,"Northeast",17,0
"1161",4,"Northeast",16.5,0
"1078",3,"Northeast",33.5,0
"702",3,"Southwest",24.5,0
"455",4,"South",17.5,0
"962",7,"Northeast",20.5,1
"562",0,"South",19,0
"747",0,"Southwest",28,0
"357",6,"Northwest",31.5,0
"563",0,"South",40,0
"1170",1,"Northeast",40,0
"765",0,"Southwest",37.5,0
"1009",0,"Northeast",32,0
"753",2,"Southwest",30,0
"647",2,"Southwest",13.5,0
"617",3,"Southwest",22.5,0
"459",5,"South",19.5,0
"621",1,"Southwest",18,0
"1178",2,"Northeast",38,0
"623",4,"Southwest",25.5,0
"1302",5,"Northeast",24,1
"937",16,"Northeast",35.5,0
"888",4,"Southwest",23,0
"1061",2,"Northeast",16,0
"981",2,"Northeast",36.5,0
"581",2,"South",33,0
"500",5,"South",16.5,1
"1187",1,"Northeast",28.5,1
"622",2,"Southwest",33,0
"1189",2,"Northeast",40,0
"960",6,"Northeast",30.5,0
"192",2,"Midwest",33.5,0
"652",6,"Southwest",29,0
"1193",12,"Northeast",32.5,0
"613",5,"Southwest",30.5,0
"115",4,"Midwest",32,0
"858",2,"Southwest",25.5,0
"157",1,"Midwest",22,0
"158",3,"Midwest",34.5,0
"996",1,"Northeast",22.5,0
"1442",1,"Northeast",36,0
"161",3,"Midwest",31,0
"502",5,"South",17,0
"854",2,"Southwest",15,0
"205",4,"Midwest",21,0
"1001",2,"Northeast",37,0
"624",4,"Southwest",26,0
"234",0,"Northwest",29,0
"1005",4,"Northeast",20.5,1
"289",7,"Northwest",33.5,0
"49",5,"Midwest",20,0
"670",4,"Southwest",16.5,0
"1334",3,"Northeast",23,1
"611",1,"Southwest",22,0
"1460",3,"Northeast",21.5,0
"1093",2,"Northeast",26,1
"675",3,"Southwest",36.5,1
"492",4,"South",20,0
"1217",3,"Northeast",15,0
"1219",5,"Northeast",26.5,0
"495",4,"South",26,0
"288",3,"Northwest",19,0
"395",3,"Northwest",32.5,0
"1101",2,"Northeast",32.5,0
"1459",4,"Northeast",25.5,0
"881",2,"Southwest",37,0
"767",5,"Southwest",21,0
"1024",4,"Northeast",22.5,1
"1431",4,"Northeast",24.5,0
"335",2,"Northwest",25,0
"1230",0,"Northeast",38.5,0
"988",7,"Northeast",22,1
"989",7,"Northeast",21.5,0
"990",4,"Northeast",14,0
"509",5,"South",30,0
"343",1,"Northwest",19.5,0
"1498",1,"Northeast",38,1
"994",2,"Northeast",26,0
"198",1,"Midwest",15.5,0
"894",10,"Southwest",30.5,0
"212",8,"Midwest",24,0
"1362",9,"Northeast",19.5,1
"517",4,"South",22.5,0
"1122",2,"Northeast",25,0
"164",10,"Midwest",33,0
"165",5,"Midwest",29.5,0
"442",1,"South",35.5,0
"1004",0,"Northeast",36.5,1
"707",3,"Southwest",19.5,0
"1249",6,"Northeast",23,0
"710",3,"Southwest",34.5,0
"940",6,"Northeast",36.5,0
"91",3,"Midwest",26.5,0
"1049",7,"Northeast",29,0
"1254",9,"Northeast",33.5,0
"714",3,"Southwest",23.5,0
"264",4,"Northwest",24,0
"932",2,"Northeast",23.5,0
"929",2,"Northeast",28.5,0
"800",5,"Southwest",18,1
"870",1,"Southwest",28.5,0
"407",4,"Northwest",25,0
"224",1,"Midwest",39.5,0
"183",2,"Midwest",25,0
"103",4,"Midwest",19,0
"540",4,"South",20,0
"1388",6,"Northeast",21.5,0
"473",4,"South",22,0
"1433",6,"Northeast",27.5,0
"809",4,"Southwest",21,0
"688",2,"Southwest",16,0
"324",7,"Northwest",37.5,0
"1151",3,"Northeast",20.5,0
"949",3,"Northeast",24,0
"950",3,"Northeast",23,0
"1154",3,"Northeast",23,0
"627",3,"Southwest",16,0
"222",4,"Midwest",24,0
"214",3,"Midwest",34.5,0
"217",1,"Midwest",39,0
"1280",1,"Northeast",38,0
"740",10,"Southwest",32.5,0
"673",4,"Southwest",33.5,0
"824",1,"Southwest",33,0
"1081",1,"Northeast",29.5,1
"1164",4,"Northeast",18,0
"1043",4,"Northeast",17.5,0
"1247",8,"Northeast",26.5,0
"5",6,"Midwest",26.5,0
"1289",6,"Northeast",32.5,0
"1209",5,"Northeast",17.5,1
"1479",2,"Northeast",30.5,0
"1008",5,"Northeast",22,0
"644",6,"Southwest",37.5,0
"1051",2,"Northeast",33,0
"970",2,"Northeast",31,0
"1296",2,"Northeast",15,1
"476",4,"South",26.5,0
"1298",7,"Northeast",24.5,0
"574",2,"South",32,0
"608",4,"Southwest",17,1
"941",1,"Northeast",30.5,0
"639",2,"Southwest",30,0
"20",3,"Midwest",30.5,0
"877",5,"Southwest",31,0
"1102",2,"Northeast",22,0
"23",0,"Midwest",42,0
"24",2,"Midwest",29.5,0
"307",1,"Northwest",32,0
"1063",4,"Northeast",18,0
"958",9,"Northeast",19.5,0
"339",2,"Northwest",47,0
"29",2,"Midwest",25,0
"30",3,"Midwest",31.5,0
"471",0,"South",19.5,0
"1315",5,"Northeast",25.5,0
"380",4,"Northwest",32,0
"1317",6,"Northeast",24.5,0
"593",3,"South",24,0
"818",0,"Southwest",29.5,0
"887",3,"Southwest",29.5,0
"160",1,"Midwest",42,0
"379",1,"Northwest",10,1
"1201",6,"Northeast",23.5,1
"1038",2,"Northeast",13,1
"42",1,"Midwest",20.5,0
"1326",5,"Northeast",27,0
"1206",7,"Northeast",27.5,0
"1328",5,"Northeast",30.5,0
"667",2,"Southwest",19,0
"274",3,"Northwest",20,1
"1330",9,"Northeast",18.5,0
"413",4,"South",16.5,1
"792",6,"Southwest",25,0
"616",3,"Southwest",24,0
"1091",0,"Northeast",26,0
"1336",1,"Northeast",38.5,0
"982",4,"Northeast",30.5,0
"55",5,"Midwest",26,0
"1218",4,"Northeast",36,1
"443",4,"South",41,0
"977",3,"Northeast",35.5,0
"421",3,"South",21.5,0
"1100",1,"Northeast",29.5,1
"1452",9,"Northeast",35,1
"1345",0,"Northeast",11.5,0
"805",5,"Southwest",27,1
"406",2,"Northwest",17,0
"1105",0,"Northeast",34,0
"983",4,"Northeast",25,1
"1107",6,"Northeast",23.5,0
"935",12,"Northeast",24,0
"1352",3,"Northeast",23.5,0
"152",5,"Midwest",22.5,1
"464",2,"South",36.5,0
"692",2,"Southwest",27.5,0
"73",3,"Midwest",20,0
"1357",1,"Northeast",39.5,0
"1115",2,"Northeast",34,0
"925",5,"Northeast",27.5,0
"513",6,"South",26.5,0
"78",3,"Midwest",16,0
"821",3,"Southwest",21.5,1
"364",2,"Northwest",18,0
"386",3,"Northwest",17.5,0
"206",5,"Midwest",20.5,0
"784",2,"Southwest",21,0
"1123",3,"Northeast",32.5,0
"85",4,"Midwest",32.5,0
"788",5,"Southwest",22.5,0
"523",2,"South",22.5,0
"938",1,"Northeast",34.5,0
"943",6,"Northeast",17.5,0
"711",2,"Southwest",13.5,0
"656",1,"Southwest",31,0
"726",5,"Southwest",30,0
"1376",2,"Northeast",21,0
"267",9,"Northwest",23,0
"1014",4,"Northeast",20,0
"255",5,"Northwest",27,0
"1137",5,"Northeast",18.5,1
"1015",4,"Northeast",23,0
"458",1,"South",18.5,0
"1383",4,"Northeast",18.5,0
"537",6,"South",28.5,0
"844",5,"Southwest",31.5,0
"1141",6,"Northeast",32,0
"1062",2,"Northeast",30.5,0
"1103",3,"Northeast",23.5,0
"643",4,"Southwest",24.5,0
"351",4,"Northwest",27,0
"770",3,"Southwest",25,0
"689",3,"Southwest",28,0
"282",4,"Northwest",25.5,0
"1030",2,"Northeast",21,0
"72",3,"Midwest",26,0
"911",1,"Northeast",29,0
"908",1,"Northeast",23,0
"893",3,"Southwest",19,0
"116",6,"Midwest",32,0
"1400",8,"Northeast",20,0
"594",2,"South",17.5,0
"1159",5,"Northeast",34.5,0
"120",3,"Midwest",41.5,0
"475",4,"South",31,0
"634",1,"Southwest",22.5,0
"620",4,"Southwest",27,0
"422",0,"South",33.5,0
"420",3,"South",16.5,0
"445",5,"South",21.5,0
"1167",5,"Northeast",22.5,0
"128",5,"Midwest",15,0
"1047",4,"Northeast",15,0
"1089",2,"Northeast",41,0
"131",1,"Midwest",19.5,0
"1172",4,"Northeast",15,0
"12",2,"Midwest",24,0
"1174",1,"Northeast",21.5,1
"294",2,"Northwest",11.5,0
"797",3,"Southwest",18,0
"285",4,"Northwest",19.5,0
"433",5,"South",26,1
"1179",3,"Northeast",29.5,0
"761",3,"Southwest",19,0
"423",4,"South",37,0
"330",3,"Northwest",34.5,0
"438",6,"South",24.5,0
"628",7,"Southwest",26.5,1
"835",3,"Southwest",26.5,0
"106",3,"Midwest",34,0
"488",5,"South",21,0
"218",4,"Midwest",17.5,0
"866",10,"Southwest",34,0
"799",6,"Southwest",28,0
"691",0,"Southwest",26,0
"1312",3,"Northeast",44,0
"1071",2,"Northeast",36,0
"1194",4,"Northeast",21,1
"1073",3,"Northeast",29,0
"1439",4,"Northeast",22,0
"512",2,"South",22,0
"931",4,"Northeast",23.5,1
"822",2,"Southwest",40.5,0
"596",16,"South",24.5,0
"1323",5,"Northeast",33,0
"1079",9,"Northeast",22,0
"852",9,"Southwest",27,0
"124",2,"Midwest",32,0
"663",2,"Southwest",33.5,0
"271",4,"Northwest",14.5,1
"1086",5,"Northeast",24,0
"47",2,"Midwest",21,1
"233",2,"Northwest",40,0
"1210",6,"Northeast",18,0
"526",2,"South",19,1
"1333",4,"Northeast",14.5,1
"1011",9,"Northeast",31,1
"1457",2,"Northeast",33,0
"995",1,"Northeast",22.5,0
"136",4,"Midwest",22,0
"137",4,"Midwest",18,1
"452",3,"South",13.5,0
"637",11,"Southwest",34,0
"356",3,"Northwest",40,0
"721",2,"Southwest",16,0
"979",9,"Northeast",25.5,0
"1426",6,"Northeast",20,1
"869",5,"Southwest",31.5,0
"874",7,"Southwest",24,0
"1226",4,"Northeast",30,1
"334",0,"Northwest",41.5,0
"67",3,"Midwest",22,1
"810",1,"Southwest",41,0
"69",5,"Midwest",19,1
"923",0,"Northeast",25,0
"32",2,"Midwest",37.5,0
"508",3,"South",35,0
"1113",1,"Northeast",25,0
"155",2,"Midwest",26,0
"1236",9,"Northeast",31,0
"953",1,"Northeast",34,0
"1238",1,"Northeast",20,0
"1239",2,"Northeast",15.5,0
"187",6,"Midwest",28,0
"838",5,"Southwest",19,0
"646",4,"Southwest",20.5,0
"163",3,"Midwest",24.5,0
"273",3,"Northwest",26.5,0
"812",4,"Southwest",35.5,0
"705",8,"Southwest",29,0
"907",2,"Northeast",28.5,0
"1248",4,"Northeast",17.5,1
"230",4,"Northwest",32.5,1
"1169",4,"Northeast",24,0
"412",6,"South",21,0
"278",5,"Northwest",26.5,0
"384",0,"Northwest",12,1
"1132",5,"Northeast",27.5,0
"955",0,"Northeast",34,0
"1135",6,"Northeast",27.5,0
"1258",3,"Northeast",22.5,0
"326",4,"Northwest",16,0
"1138",2,"Northeast",16.5,1
"1260",3,"Northeast",36,1
"415",1,"South",34.5,0
"899",1,"Southwest",35,0
"1142",3,"Northeast",21,0
"1264",4,"Northeast",20.5,0
"1492",8,"Northeast",25.5,0
"1267",0,"Northeast",37,0
"350",8,"Northwest",23,0
"374",1,"Northwest",9,0
"728",5,"Southwest",32,0
"1027",5,"Northeast",35.5,0
"462",6,"South",19.5,0
"505",4,"South",26.5,0
"548",2,"South",34,0
"1153",9,"Northeast",20.5,0
"244",8,"Northwest",24,0
"912",2,"Northeast",11.5,1
"197",3,"Midwest",24.5,0
"409",10,"Northwest",25,0
"1279",3,"Northeast",30,0
"848",2,"Southwest",15,0
"189",4,"Midwest",24.5,0
"1404",3,"Northeast",21.5,0
"1039",6,"Northeast",22.5,0
"559",5,"South",34,0
"999",1,"Northeast",37.5,0
"440",10,"South",33.5,0
"314",6,"Northwest",29.5,1
"789",5,"Southwest",32.5,0
"1168",3,"Northeast",14.5,1
"450",5,"South",31,0
"1499",4,"Northeast",19.5,0
"172",1,"Midwest",21.5,0
"1293",5,"Northeast",30,0
"755",0,"Southwest",24,0
"283",2,"Northwest",27.5,0
"1175",4,"Northeast",31,0
"969",1,"Northeast",34,0
"1177",0,"Northeast",30.5,0
"17",6,"Midwest",30,0
"328",4,"Northwest",22.5,0
"140",0,"Midwest",37.5,0
"463",5,"South",31,1
"142",3,"Midwest",16,0
"1223",4,"Northeast",20.5,0
"1224",6,"Northeast",34.5,0
"1185",2,"Northeast",17.5,0
"174",1,"Midwest",32.5,0
"583",0,"South",25.5,0
"308",5,"Northwest",15.5,0
"1447",1,"Northeast",31.5,0
"1311",7,"Northeast",15.5,0
"466",3,"South",32,0
"261",4,"Northwest",21,0
"468",5,"South",21.5,0
"1424",6,"Northeast",42.5,0
"345",1,"Northwest",10,0
"882",3,"Southwest",18.5,0
"1197",9,"Northeast",22.5,0
"875",4,"Southwest",27,0
"1320",0,"Northeast",28,0
"398",4,"Northwest",21,0
"1444",1,"Northeast",39,0
"742",8,"Southwest",24,0
"123",3,"Midwest",33,0
"1082",2,"Northeast",20.5,0
"1002",7,"Northeast",25,1
"237",2,"Northwest",26,0
"901",3,"Northeast",24.5,0
"626",1,"Southwest",38,0
"484",7,"South",39.5,0
"868",7,"Southwest",24.5,1
"833",5,"Southwest",26.5,0
"51",1,"Midwest",33.5,0
"1092",4,"Northeast",21,0
"134",2,"Midwest",28.5,1
"14",6,"Midwest",18,0
"759",2,"Southwest",26.5,0
"827",0,"Southwest",36.5,0
"758",1,"Southwest",20,0
"286",3,"Northwest",26,0
"167",4,"Midwest",28,0
"141",4,"Midwest",34.5,0
"182",3,"Midwest",19,0
"1344",1,"Northeast",35,1
"885",3,"Southwest",19.5,1
"1346",5,"Northeast",20,0
"768",6,"Southwest",28,0
"346",2,"Northwest",37.5,0
"865",1,"Southwest",27,0
"1026",5,"Northeast",16.5,0
"839",7,"Southwest",24,0
"506",3,"South",31,0
"270",1,"Northwest",30,0
"1354",7,"Northeast",27,0
"653",4,"Southwest",20,0
"377",4,"Northwest",29.5,0
"604",3,"Southwest",26.5,0
"238",1,"Northwest",29.5,0
"819",4,"Southwest",34,0
"1360",9,"Northeast",24.5,0
"849",4,"Southwest",32.5,0
"782",6,"Southwest",24,0
"313",0,"Northwest",35.5,0
"338",0,"Northwest",36,0
"519",3,"South",25.5,0
"787",5,"Southwest",32,0
"311",5,"Northwest",26.5,0
"1126",5,"Northeast",26.5,1
"1398",8,"Northeast",27,0
"88",5,"Midwest",28,0
"832",1,"Southwest",33,0
"629",1,"Southwest",33,0
"1252",9,"Northeast",34.5,0
"1010",3,"Northeast",17,0
"321",4,"Northwest",27,0
"944",5,"Northeast",16,1
"922",4,"Northeast",14.5,1
"1257",1,"Northeast",38.5,0
"449",2,"South",19.5,0
"139",3,"Midwest",16.5,1
"194",4,"Midwest",22.5,0
"801",4,"Southwest",24.5,0
"1262",6,"Northeast",24.5,0
"1263",2,"Northeast",17,0
"1386",3,"Northeast",23.5,1
"846",2,"Southwest",25,0
"862",0,"Southwest",17.5,0
"739",3,"Southwest",28.5,0
"107",8,"Midwest",32.5,0
"1269",4,"Northeast",20,0
"325",3,"Northwest",25,0
"1028",3,"Northeast",13,1
"547",1,"South",34.5,0
"1273",9,"Northeast",31.5,0
"549",5,"South",31,0
"606",4,"Southwest",26.5,0
"952",7,"Northeast",19,0
"1034",1,"Northeast",37,0
"553",2,"South",17.5,0
"201",1,"Midwest",26.5,0
"860",5,"Southwest",22,1
"1118",4,"Northeast",29,1
"557",3,"South",22,0
"122",4,"Midwest",40,0
"1042",1,"Northeast",25,0
"2",1,"Midwest",36.5,0
"1286",1,"Northeast",27,0
"1409",6,"Northeast",33.5,0
"390",8,"Northwest",30,0
"6",6,"Midwest",26.5,0
"7",3,"Midwest",19,1
"8",5,"Midwest",34.5,1
"750",3,"Southwest",19.5,0
"1050",2,"Northeast",21.5,0
"1294",5,"Northeast",23,1
"570",4,"South",19,0
"609",8,"Southwest",31,0
"572",5,"South",18.5,0
"354",5,"Northwest",16.5,0
"1055",3,"Northeast",27.5,0
"936",3,"Northeast",18.5,0
"939",4,"Northeast",19.5,0
"1060",3,"Northeast",24,0
"210",7,"Midwest",24,0
"778",1,"Southwest",25,0
"22",3,"Midwest",16,1
"291",2,"Northwest",20,0
"766",2,"Southwest",35.5,0
"25",4,"Midwest",29.5,0
"1065",2,"Northeast",23.5,0
"1067",7,"Northeast",20,0
"28",4,"Midwest",26.5,0
"772",5,"Southwest",31,0
"1380",5,"Northeast",23,0
"589",5,"South",24.5,0
"650",4,"Southwest",36,0
"1316",4,"Northeast",26.5,0
"1496",8,"Northeast",21,0
"35",4,"Midwest",24,0
"1035",8,"Northeast",34,1
"37",5,"Midwest",16,0
"781",2,"Southwest",22,0
"1322",5,"Northeast",25.5,1
"1202",1,"Northeast",32.5,0
"1080",6,"Northeast",22,0
"600",3,"South",39.5,0
"704",4,"Southwest",19.5,0
"272",4,"Northwest",15,0
"666",1,"Southwest",42,0
"1329",9,"Northeast",18,0
"1087",5,"Northeast",38,0
"275",1,"Northwest",29,0
"231",4,"Northwest",22.5,1
"1454",4,"Northeast",36,1
"1212",6,"Northeast",26.5,0
"501",3,"South",28,0
"53",6,"Midwest",24,0
"973",2,"Northeast",42.5,0
"855",6,"Southwest",17.5,0
"245",2,"Northwest",11.5,1
"246",4,"Northwest",16.5,0
"58",1,"Midwest",34.5,0
"426",6,"South",25.5,0
"287",4,"Northwest",15,0
"61",4,"Midwest",16,1
"896",2,"Southwest",30.5,0
"63",2,"Midwest",21.5,0
"1347",3,"Northeast",19.5,0
"806",2,"Southwest",32,0
"985",8,"Northeast",30.5,0
"660",6,"Southwest",29,1
"987",4,"Northeast",38.5,0
"811",3,"Southwest",37.5,0
"465",2,"South",15.5,0
"915",4,"Northeast",23,1
"774",5,"Southwest",21.5,0
"414",7,"South",19,1
"74",2,"Midwest",21.5,0
"276",4,"Northwest",22.5,0
"1075",4,"Northeast",28.5,1
"1117",8,"Northeast",22,1
"1361",3,"Northeast",15.5,0
"385",2,"Northwest",21,0
"1241",4,"Northeast",27.5,0
"337",3,"Northwest",19,0
"342",1,"Northwest",27.5,0
"467",1,"South",37,0
"1003",6,"Northeast",26.5,0
"428",4,"South",30,0
"429",2,"South",32.5,0
"640",3,"Southwest",16,0
"1007",3,"Northeast",25,0
"1048",1,"Northeast",37,0
"90",12,"Midwest",30,0
"725",4,"Southwest",17.5,0
"92",4,"Midwest",12.5,0
"266",4,"Northwest",29,0
"659",3,"Southwest",28.5,0
"531",4,"South",24.5,0
"56",1,"Midwest",38,0
"636",3,"Southwest",16,0
"1017",5,"Northeast",19,0
"99",1,"Midwest",34,0
"720",3,"Southwest",21.5,0
"402",4,"Northwest",19,0
"1372",2,"Northeast",34.5,0
"980",9,"Northeast",34.5,1
"1184",4,"Northeast",29.5,0
"1145",11,"Northeast",24.5,1
"1146",1,"Northeast",18.5,0
"1390",4,"Northeast",20,0
"108",0,"Midwest",34.5,0
"109",2,"Midwest",20.5,0
"1272",1,"Northeast",21.5,1
"813",3,"Southwest",24.5,0
"1031",5,"Northeast",15.5,1
"1032",1,"Northeast",43,1
"1033",5,"Northeast",37,1
"889",4,"Southwest",13.5,0
"220",2,"Midwest",16,0
"859",4,"Southwest",23,1
"1076",3,"Northeast",23.5,0
"1476",6,"Northeast",25,0
"555",1,"South",35,0
"1119",4,"Northeast",19.5,0
"1162",5,"Northeast",28,0
"446",4,"South",33.5,1
"232",4,"Northwest",32,0
"745",3,"Southwest",21,1
"828",6,"Southwest",18.5,0
"1410",3,"Northeast",31.5,1
"895",1,"Southwest",18.5,0
"1088",9,"Northeast",22,0
"751",5,"Southwest",24,0
"1171",3,"Northeast",24.5,0
"132",4,"Midwest",42.5,0
"135",4,"Midwest",23,0
"1417",2,"Northeast",26.5,0
"571",3,"South",13.5,0
"718",10,"Southwest",36,0
"1056",5,"Northeast",21.5,1
"947",4,"Northeast",32.5,0
"18",6,"Midwest",22.5,0
"19",4,"Midwest",25.5,0
"607",3,"Southwest",29,0
"1182",1,"Northeast",34.5,0
"1020",3,"Northeast",28.5,0
"368",4,"Northwest",30,0
"1307",2,"Northeast",29,0
"1429",2,"Northeast",16.5,1
"671",3,"Southwest",18.5,0
"503",5,"South",29,0
"149",5,"Midwest",35,0
